2; 0.3465735912
3; 0.7324082255
4; 0.6931471825
5; 0.9656627774
6; 0.8958797455
7; 1.1119486094
8; 1.0397207737
9; 0.9765442610
10; 0.9210340381
11; 1.0899524689
12; 1.0353777409
13; 1.1838227510
14; 1.1310245991
15; 1.0832201242
16; 1.0397207737
17; 1.1666172743
18; 1.1240334511
19; 1.2397637367
20; 1.1982929707
21; 1.1598180532
22; 1.1240154505
23; 1.2269325256
24; 1.1917701960
25; 1.1587953568
26; 1.1278026104
27; 1.0986123085
28; 1.0710657835
29; 1.1611365080
30; 1.1337324381
31; 1.2185115814
32; 1.1913467646
33; 1.1655025482
34; 1.1408813000
35; 1.1173951626
36; 1.0949641466
37; 1.1711084843
38; 1.1487114429
39; 1.1272497177
40; 1.1066638231
41; 1.1774740219
42; 1.1568977833
43; 1.2245768309
44; 1.2040603161
45; 1.1842950583
46; 1.1652387381
47; 1.2287704945
48; 1.2097502947
49; 1.1913735867
50; 1.1736068726
51; 1.1564192772
52; 1.1397818327
53; 1.1985787153
54; 1.1819212437
55; 1.1657696962
56; 1.1501004696
57; 1.1348916292
58; 1.1201221943
59; 1.1748837233
60; 1.1600643396
61; 1.2130446434
62; 1.1982003450
63; 1.1837527752
64; 1.1696858406
65; 1.1559841633
66; 1.1426330805
67; 1.1923755407
68; 1.1789801121
69; 1.1659133434
70; 1.1531629562
71; 1.2007550001
72; 1.1879627705
73; 1.2342418432
74; 1.2214238644
75; 1.2088966370
76; 1.1966500282
77; 1.1846741438
78; 1.1729601622
79; 1.2168081999
80; 1.2050573826
81; 1.1935541630
82; 1.1822905540
83; 1.2244979143
84; 1.2131998539
85; 1.2021291256
86; 1.1912789345
87; 1.1806423664
88; 1.1702131033
89; 1.2104188204
90; 1.1999492645
91; 1.1896772385
92; 1.1795970201
93; 1.1697031260
94; 1.1599901915
95; 1.1504530907
96; 1.1410870552
97; 1.1790491343
98; 1.1696345806
99; 1.1603838205
100; 1.1512925625
101; 1.1880507469
102; 1.1789146662
103; 1.2149289846
104; 1.2057553530
105; 1.1967326403
106; 1.1878571510
107; 1.2227963209
108; 1.2138859034
